volume,price,high,low,open,change,date
2.75K,49264.0,49487.0,48121.0,48868.0,0.81%,22-08-2021 17:00:00
21.16K,49747.0,51154.0,48120.6,49725.0,0.04%,13-05-2021 17:00:00
14.96K,49725.0,57688.0,49725.0,56715.0,-12.32%,12-05-2021 17:00:00
7.69K,56715.0,56724.0,54789.0,55851.0,1.55%,11-05-2021 17:00:00
13.49K,55851.0,59454.3,55448.0,58276.0,-4.16%,10-05-2021 17:00:00
8.48K,58276.0,58956.5,56977.0,58894.0,-1.05%,09-05-2021 17:00:00
6.93K,57349.0,58101.0,55606.0,56451.0,1.59%,07-05-2021 17:00:00
10.44K,56451.0,57843.0,55897.0,57487.0,-1.79%,06-05-2021 17:00:00
7.66K,57477.0,57477.0,52960.0,52960.0,7.91%,05-05-2021 17:00:00
10.03K,53264.0,57147.0,53264.0,57147.0,-6.79%,04-05-2021 17:00:00
4.32K,57774.0,58265.0,57259.0,57634.7,0.24%,01-05-2021 17:00:00
7.86K,57637.0,57637.0,53339.0,53566.0,7.60%,30-04-2021 17:00:00
7.86K,57637.0,57637.0,53339.0,53566.0,7.60%,30-04-2021 17:00:00
7.08K,53566.0,54860.0,52631.0,54860.0,-2.36%,29-04-2021 17:00:00
5.76K,54860.0,55575.0,54090.0,55044.0,-0.33%,28-04-2021 17:00:00
7.24K,55044.0,55215.0,53660.0,54103.0,1.74%,27-04-2021 17:00:00
11.01K,54103.0,54214.0,49129.0,49129.0,10.15%,26-04-2021 17:00:00
9.60K,49116.3,50539.0,48409.8,50167.0,-2.09%,25-04-2021 17:00:00
5.98K,50167.0,51139.0,49572.0,51139.0,-1.90%,24-04-2021 17:00:00
12.69K,51781.3,55067.0,51781.3,53822.0,-3.79%,22-04-2021 17:00:00
7.10K,53822.0,56476.0,53822.0,56476.0,-4.70%,21-04-2021 17:00:00
8.57K,55639.0,57359.0,54912.8,56173.0,-0.93%,19-04-2021 17:00:00
8.57K,55639.0,57359.0,54912.8,56173.0,-0.93%,19-04-2021 17:00:00
26.33K,56163.0,60223.0,54416.8,59970.0,-6.35%,18-04-2021 17:00:00
6.61K,63196.0,63475.0,62348.0,62907.0,0.40%,15-04-2021 17:00:00
6.61K,63196.0,63475.0,62348.0,62907.0,0.40%,15-04-2021 17:00:00
10.93K,62942.7,64374.0,62065.0,63518.0,-0.91%,14-04-2021 17:00:00
11.26K,63518.0,63518.0,59900.0,59900.0,6.04%,13-04-2021 17:00:00
5.50K,59900.0,60701.0,59747.0,60034.8,-0.22%,12-04-2021 17:00:00
4.65K,60034.8,60486.0,59411.0,59823.8,0.35%,11-04-2021 17:00:00
5.62K,57991.0,59200.0,57603.0,59145.0,-1.95%,06-04-2021 17:00:00
5.59K,59145.0,59145.0,57034.0,58240.0,1.55%,05-04-2021 17:00:00
4.97K,58240.0,58240.0,57023.0,57023.0,2.13%,04-04-2021 17:00:00
4.35K,58727.4,59172.9,58498.0,58796.0,-0.12%,01-04-2021 17:00:00
8.12K,58796.0,59453.0,57698.0,58841.0,-0.08%,31-03-2021 17:00:00
7.87K,58841.0,59349.0,57278.0,57672.3,2.03%,30-03-2021 17:00:00
10.12K,57672.3,58162.0,54984.0,55773.0,3.41%,29-03-2021 17:00:00
7.71K,54992.9,54992.9,51363.0,51363.0,7.07%,26-03-2021 17:00:00
11.59K,51363.0,52926.0,50874.0,52347.2,-1.88%,25-03-2021 17:00:00
