volume,price,high,low,open,change,date
418.49K,2776.37,2856.11,2734.8,2768.64,0.33%,26-02-2022 17:00:00
679.41K,2767.33,2829.99,2573.23,2599.0,6.59%,25-02-2022 17:00:00
1.40M,2596.16,2734.17,2302.82,2578.87,0.70%,24-02-2022 17:00:00
504.19K,2578.09,2749.47,2578.09,2641.33,-2.24%,23-02-2022 17:00:00
692.64K,2637.25,2662.71,2501.02,2569.18,2.60%,22-02-2022 17:00:00
761.63K,2570.49,2755.44,2559.61,2621.87,-1.84%,21-02-2022 17:00:00
386.43K,2618.76,2764.39,2577.69,2764.39,-5.25%,20-02-2022 17:00:00
293.74K,2763.76,2829.0,2700.13,2776.84,-0.57%,19-02-2022 17:00:00
503.02K,2779.49,2942.95,2754.12,2891.89,-3.96%,18-02-2022 17:00:00
488.73K,2893.95,3159.99,2855.83,3125.09,-7.31%,17-02-2022 17:00:00
320.00K,3122.02,3184.77,3045.72,3184.08,-1.88%,16-02-2022 17:00:00
448.94K,3181.93,3193.04,2912.49,2934.14,8.64%,15-02-2022 17:00:00
381.79K,2928.97,2963.96,2834.38,2877.92,2.02%,14-02-2022 17:00:00
242.75K,2871.02,2952.96,2838.25,2915.72,-1.57%,13-02-2022 17:00:00
336.19K,2916.88,2984.9,2858.57,2927.54,-0.36%,12-02-2022 17:00:00
462.06K,2927.53,3136.72,2880.09,3072.47,-4.69%,11-02-2022 17:00:00
578.28K,3071.51,3276.46,3058.05,3243.47,-5.30%,10-02-2022 17:00:00
370.17K,3243.32,3266.33,3056.08,3118.96,4.09%,09-02-2022 17:00:00
514.78K,3115.8,3228.28,3030.1,3145.15,-0.76%,08-02-2022 17:00:00
455.07K,3139.68,3185.57,2995.81,3055.69,2.72%,07-02-2022 17:00:00
249.44K,3056.4,3073.18,2957.03,3016.8,1.42%,06-02-2022 17:00:00
356.93K,3013.48,3058.84,2962.77,2990.0,0.62%,05-02-2022 17:00:00
664.12K,2994.99,2994.99,2671.48,2695.99,11.22%,04-02-2022 17:00:00
404.78K,2692.97,2724.13,2579.77,2678.91,0.46%,03-02-2022 17:00:00
444.43K,2686.66,2704.51,2478.7,2603.33,3.23%,31-01-2022 17:00:00
290.81K,2602.6,2635.79,2543.85,2600.91,0.09%,30-01-2022 17:00:00
376.60K,2600.33,2632.15,2520.02,2544.15,2.13%,29-01-2022 17:00:00
485.15K,2545.99,2556.1,2362.78,2424.71,5.00%,28-01-2022 17:00:00
599.47K,2424.67,2515.04,2317.01,2462.31,-1.49%,27-01-2022 17:00:00
806.50K,2461.3,2719.55,2405.68,2458.7,0.12%,26-01-2022 17:00:00
806.50K,2461.3,2719.55,2405.68,2458.7,0.12%,26-01-2022 17:00:00
510.13K,2458.27,2504.39,2352.56,2441.11,0.72%,25-01-2022 17:00:00
510.13K,2458.27,2504.39,2352.56,2441.11,0.72%,25-01-2022 17:00:00
1.12M,2440.81,2538.36,2161.68,2538.36,-3.92%,24-01-2022 17:00:00
1.12M,2440.81,2538.36,2161.68,2538.36,-3.92%,24-01-2022 17:00:00
580.48K,2540.45,2547.01,2373.75,2412.75,5.30%,23-01-2022 17:00:00
580.48K,2540.45,2547.01,2373.75,2412.75,5.30%,23-01-2022 17:00:00
1.08M,2412.48,2621.41,2314.3,2562.66,-6.17%,22-01-2022 17:00:00
1.08M,2412.48,2621.41,2314.3,2562.66,-6.17%,22-01-2022 17:00:00
1.02M,2571.12,3032.34,2473.5,3000.15,-14.42%,21-01-2022 17:00:00
1.02M,2571.12,3032.34,2473.5,3000.15,-14.42%,21-01-2022 17:00:00
357.36K,3004.19,3270.58,2989.72,3088.04,-2.59%,20-01-2022 17:00:00
357.36K,3004.19,3270.58,2989.72,3088.04,-2.59%,20-01-2022 17:00:00
332.96K,3084.2,3173.14,3049.3,3165.57,-2.40%,19-01-2022 17:00:00
332.96K,3084.2,3173.14,3049.3,3165.57,-2.40%,19-01-2022 17:00:00
299.19K,3159.96,3242.13,3084.78,3212.42,-1.54%,18-01-2022 17:00:00
299.19K,3159.96,3242.13,3084.78,3212.42,-1.54%,18-01-2022 17:00:00
284.01K,3209.25,3356.4,3142.02,3348.4,-4.10%,17-01-2022 17:00:00
210.78K,3346.47,3387.99,3276.74,3326.25,0.55%,16-01-2022 17:00:00
203.07K,3328.08,3369.45,3265.36,3310.73,0.61%,15-01-2022 17:00:00
285.40K,3307.74,3340.98,3196.46,3242.82,2.01%,14-01-2022 17:00:00
336.22K,3242.44,3407.33,3234.85,3368.76,-3.80%,13-01-2022 17:00:00
370.47K,3370.48,3406.5,3208.47,3239.73,4.09%,12-01-2022 17:00:00
362.47K,3237.93,3263.07,3053.61,3083.14,4.94%,11-01-2022 17:00:00
529.76K,3085.46,3179.99,2932.51,3146.03,-2.06%,10-01-2022 17:00:00
275.88K,3150.42,3210.49,3060.36,3080.01,2.30%,09-01-2022 17:00:00
400.68K,3079.66,3246.4,3001.63,3198.5,-3.62%,08-01-2022 17:00:00
669.76K,3195.35,3412.66,3080.3,3412.43,-6.22%,07-01-2022 17:00:00
497.14K,3407.21,3550.42,3306.91,3533.73,-3.62%,06-01-2022 17:00:00
397.44K,3535.07,3846.31,3419.2,3784.1,-6.75%,05-01-2022 17:00:00
288.10K,3790.83,3888.86,3714.78,3772.46,0.70%,04-01-2022 17:00:00
236.28K,3764.48,3849.03,3682.57,3828.2,-1.74%,03-01-2022 17:00:00
154.75K,3831.24,3850.0,3718.31,3765.75,1.75%,02-01-2022 17:00:00
154.15K,3765.36,3774.77,3675.68,3679.41,2.38%,01-01-2022 17:00:00
268.02K,3677.7,3812.06,3623.69,3709.19,-0.86%,31-12-2021 17:00:00
249.32K,3709.42,3767.96,3588.14,3629.32,2.27%,30-12-2021 17:00:00
302.75K,3627.17,3826.1,3607.76,3798.51,-4.38%,29-12-2021 17:00:00
358.06K,3793.17,4037.04,3761.0,4037.04,-6.02%,28-12-2021 17:00:00
222.31K,4036.24,4125.11,4033.26,4064.58,-0.61%,27-12-2021 17:00:00
189.16K,4061.17,4103.98,4005.01,4095.72,-0.77%,26-12-2021 17:00:00
208.14K,4092.69,4135.67,4025.33,4046.98,1.22%,25-12-2021 17:00:00
230.85K,4043.19,4133.72,4025.43,4112.3,-1.62%,24-12-2021 17:00:00
380.18K,4109.7,4148.85,3895.82,3980.37,3.27%,23-12-2021 17:00:00
303.22K,3979.47,4072.1,3943.62,4014.0,-0.92%,22-12-2021 17:00:00
340.87K,4016.27,4058.42,3915.49,3956.37,1.82%,21-12-2021 17:00:00
366.91K,3944.49,3978.42,3757.35,3923.62,0.48%,20-12-2021 17:00:00
